user_id,item_id,pv_count_5min,is_cart_or_fav
1001404,3501399,2,0
1007313,4080251,1,0
1009093,4733892,0,0
1008797,3899295,6,0
100227,374920,0,0
1006255,3038026,0,0
104770,1699867,0,0
1005131,1014364,4,0
101954,278581,1,0
1016774,3938848,0,0
1017869,3044207,1,0
1006858,1165519,0,0
1005711,2059970,1,0
101744,4002275,0,0
1015770,2600373,0,0
1005688,2100145,0,0
1006915,552648,0,0
1015986,20266,0,0
1015469,4125404,0,0
105861,2560749,0,0
10205,1733545,0,0
1015403,1581828,0,0
1016698,3021206,0,0
10234,4589967,1,0
103965,4636788,0,0
1005649,1530576,0,0
1017392,3507658,0,0
1012275,5135622,0,0
1012734,747579,2,1
1015720,2988047,0,0
1012500,12305,0,0
1010327,4770023,0,0
1006392,1195675,0,0
1016326,2031364,3,1
1003022,1048127,0,0
1007550,2637973,0,0
1015645,4312155,0,0
1005985,3769771,0,0
103773,1189039,0,0
1005419,2691791,1,1
105796,3452091,1,0
101896,4034695,0,0
1011322,597374,0,0
1014909,4054447,0,0
1005186,1312812,3,0
1002766,1933135,0,0
1006759,4872583,2,0
1012081,3281238,0,0
1015580,1873665,2,0
1005738,1666404,0,0
1001877,3056622,1,0
104066,2821198,1,0
1004327,4681453,0,0
102257,4022808,5,0
1005291,619637,0,0
1005945,569880,1,0
1003509,4534266,2,0
102728,3155135,1,1
1009771,2239994,0,0
10009,4792589,2,0
1004945,3307942,0,0
1005626,4184983,0,0
1015694,1105139,0,0
1008842,5019401,0,0
1006400,1922850,0,0
104242,4764746,0,0
1009153,3068020,0,0
103259,2115109,0,0
10593,2928700,0,0
1005417,341922,0,0
1012651,4169967,1,1
1001829,2053106,0,0
1004661,3921561,0,0
105903,4333182,0,0
105951,3804707,0,0
1013133,3820015,0,0
1009666,567885,2,0
1016156,4571034,0,0
104765,1863925,0,0
1007046,3246718,0,0
10154,1713554,0,0
1005498,4384155,3,1
1002031,694434,0,0
1007782,238700,0,0
1009719,3096889,1,0
1008258,3298016,0,0
1008078,3204299,0,0
100370,194822,1,0
103054,279814,0,0
10230,2708888,0,0
102897,1751411,0,0
1010330,689715,0,0
1004785,200725,2,0
102634,1684986,0,0
100891,2282893,0,0
1002251,307329,0,0
1005713,292615,0,0
1011128,3561051,0,0
100339,3740405,0,0
100109,3628077,2,0
106317,2626360,1,1
105194,3844513,0,0
1014434,410974,0,0
1001566,2223945,0,0
1011490,171209,0,0
1001375,2980358,1,1
103916,1334151,1,0
1007674,2581584,0,0
1001327,3096879,0,0
1007819,2099085,0,0
1008302,3851313,0,0
1012395,1388979,0,0
105303,1824731,0,0
1008137,1731763,0,0
100370,2084372,0,0
1009285,4546866,2,0
104450,4795196,0,0
1016079,1730382,0,0
100595,3503834,1,0
1014321,4848299,1,0
1015772,2687105,0,0
104130,2556884,1,0
100249,2143637,0,0
1011943,1667059,3,0
102632,4800492,2,0
1011996,1592761,2,0
1011365,827114,0,0
1015840,465117,0,0
100688,492152,0,0
